,Date,MSLP,Prcp,Tc,RH,WS
0,2021-01-01,1018.2,29.0,1.1,97.0,2.7
1,2021-01-02,1020.3,49.5,0.7,100.0,2.1
2,2021-01-03,1024.9,1.5,0.9,98.0,1.6
3,2021-01-04,1027.1,18.5,2.6,95.0,2.2
4,2021-01-05,1021.6,7.5,3.6,89.0,2.4
5,2021-01-06,1015.2,4.5,2.6,92.0,3.0
6,2021-01-07,1009.2,21.5,1.2,83.0,4.8
7,2021-01-08,1011.0,65.0,-1.5,100.0,2.6
8,2021-01-09,1012.3,40.5,-1.6,99.0,3.5
9,2021-01-10,1019.0,8.5,-0.4,95.0,2.2
10,2021-01-11,1023.9,20.5,0.7,97.0,1.9
11,2021-01-12,1015.2,1.5,2.1,92.0,1.8
12,2021-01-13,1016.8,2.0,3.4,86.0,2.7
13,2021-01-14,1021.4,0.5,4.7,81.0,2.8
14,2021-01-15,1020.6,0.0,4.3,80.0,2.8
15,2021-01-16,1016.4,35.5,4.2,88.0,3.5
16,2021-01-17,1018.6,10.0,1.2,98.0,1.5
17,2021-01-18,1015.9,28.0,1.2,97.0,3.3
18,2021-01-19,1026.5,6.0,-0.4,91.0,2.3
19,2021-01-20,1032.0,0.0,-0.7,79.0,2.1
20,2021-01-21,1025.9,0.0,1.1,83.0,1.8
21,2021-01-22,1020.6,5.0,4.7,93.0,2.7
22,2021-01-23,1020.9,4.5,4.0,94.0,1.8
23,2021-01-24,1021.3,9.5,3.8,99.0,1.5
24,2021-01-25,1027.1,0.0,4.6,95.0,1.8
25,2021-01-26,1019.5,0.5,6.9,76.0,2.7
26,2021-01-27,1017.7,13.5,6.3,87.0,3.7
27,2021-01-28,1010.4,0.0,4.7,77.0,2.1
28,2021-01-29,1011.6,26.5,0.7,90.0,4.6
29,2021-01-30,1023.0,7.0,0.9,87.0,2.6
30,2021-01-31,1029.8,1.5,2.3,90.0,2.0
31,2021-02-01,1020.0,4.0,5.5,67.0,6.1
32,2021-02-02,1014.1,27.5,4.1,92.0,3.1
33,2021-02-03,1020.1,10.0,1.4,90.0,2.7
34,2021-02-04,1019.2,8.5,2.1,85.0,3.6
35,2021-02-05,1020.9,2.0,4.5,74.0,2.4
36,2021-02-06,1014.9,0.0,8.7,53.0,3.8
37,2021-02-07,1015.7,2.0,5.1,81.0,2.7
38,2021-02-08,1017.9,11.5,1.0,87.0,2.6
39,2021-02-09,1023.3,8.0,0.1,90.0,2.4
40,2021-02-10,1021.4,1.5,4.3,73.0,2.7
41,2021-02-11,1024.6,0.0,5.3,75.0,2.0
42,2021-02-12,1026.5,0.0,4.9,77.0,1.5
43,2021-02-13,1025.0,0.0,11.3,56.0,3.6
44,2021-02-14,1018.3,0.0,13.6,53.0,3.9
45,2021-02-15,1000.4,40.0,9.8,87.0,3.5
46,2021-02-16,1007.2,25.5,2.8,86.0,5.4
47,2021-02-17,1004.2,47.0,-0.2,95.0,3.8
48,2021-02-18,1010.2,20.0,-0.6,93.0,2.5
49,2021-02-19,1016.1,0.0,2.0,82.0,2.9
50,2021-02-20,1010.4,0.5,8.1,59.0,4.5
51,2021-02-21,1012.9,0.0,11.2,58.0,3.7
52,2021-02-22,1011.0,7.0,13.2,54.0,4.4
53,2021-02-23,1019.8,2.0,5.0,73.0,3.3
54,2021-02-24,1026.5,0.0,1.9,78.0,2.1
55,2021-02-25,1025.8,0.0,3.1,68.0,2.0
56,2021-02-26,1025.1,1.5,5.5,67.0,2.7
57,2021-02-27,1031.3,0.0,3.3,56.0,4.5
58,2021-02-28,1031.0,0.0,5.8,66.0,1.9
59,2021-03-01,1020.0,0.0,15.5,40.0,6.1
60,2021-03-02,1013.2,24.0,9.2,76.0,6.2
61,2021-03-03,1029.8,0.0,3.3,65.0,3.3
62,2021-03-04,1027.9,0.0,8.2,66.0,2.4
63,2021-03-05,1021.1,1.5,11.7,67.0,3.4
64,2021-03-06,1024.5,9.0,6.9,87.0,4.2
65,2021-03-07,1028.3,0.0,5.0,70.0,3.5
66,2021-03-08,1027.3,0.0,5.3,75.0,3.1
67,2021-03-09,1023.8,0.0,5.7,74.0,1.9
68,2021-03-10,1026.9,0.0,6.6,69.0,2.8
69,2021-03-11,1028.7,0.0,6.6,69.0,1.8
70,2021-03-12,1022.9,4.0,8.7,80.0,1.8
71,2021-03-13,1011.0,21.0,9.2,93.0,2.4
72,2021-03-14,1016.4,3.0,8.5,68.0,3.2
73,2021-03-15,1018.3,0.0,9.3,61.0,2.3
74,2021-03-16,1012.3,2.5,10.9,71.0,3.5
75,2021-03-17,1019.6,0.0,7.7,63.0,2.4
76,2021-03-18,1022.9,0.0,7.4,67.0,2.7
77,2021-03-19,1022.4,0.0,7.8,71.0,2.9
78,2021-03-20,1016.8,6.0,9.5,75.0,3.0
79,2021-03-21,1005.9,12.5,14.3,78.0,4.7
80,2021-03-22,1014.8,1.5,7.3,75.0,2.9
81,2021-03-23,1021.7,0.0,9.0,58.0,2.8
82,2021-03-24,1022.4,0.0,12.5,52.0,3.1
83,2021-03-25,1019.2,0.0,12.6,64.0,3.1
84,2021-03-26,1020.3,5.5,9.5,71.0,2.6
85,2021-03-27,1020.6,0.0,10.4,72.0,2.5
86,2021-03-28,1007.3,6.5,17.6,56.0,7.7
87,2021-03-29,1005.8,0.0,16.6,68.0,4.5
88,2021-03-30,1010.3,0.0,13.8,68.0,2.1
89,2021-03-31,1016.5,0.0,10.8,70.0,3.1
90,2021-04-01,1023.0,0.0,10.0,69.0,3.4
91,2021-04-02,1024.7,0.0,12.0,72.0,1.8
92,2021-04-03,1018.3,0.0,17.8,55.0,3.6
93,2021-04-04,1010.1,20.0,16.8,70.0,5.2
94,2021-04-05,1018.3,5.5,8.6,78.0,4.0
95,2021-04-06,1018.1,0.0,8.9,70.0,2.1
96,2021-04-07,1017.1,0.0,11.7,60.0,2.4
97,2021-04-08,1016.9,0.0,9.4,67.0,3.5
98,2021-04-09,1025.1,0.0,8.0,58.0,2.7
99,2021-04-10,1032.6,0.0,7.1,63.0,3.0
100,2021-04-11,1033.6,0.0,8.8,68.0,2.4
101,2021-04-12,1027.2,0.0,13.8,59.0,3.1
102,2021-04-13,1012.1,0.0,18.0,53.0,8.1
103,2021-04-14,1014.1,11.5,8.6,91.0,3.3
104,2021-04-15,1021.7,0.0,8.4,65.0,2.8
105,2021-04-16,1020.7,0.0,15.8,50.0,5.9
106,2021-04-17,1012.6,19.0,13.5,89.0,2.7
107,2021-04-18,1007.4,13.0,9.8,77.0,5.2
108,2021-04-19,1014.3,0.0,13.0,58.0,3.1
109,2021-04-20,1017.5,0.0,15.9,56.0,4.4
110,2021-04-21,1023.7,0.0,13.1,68.0,2.2
111,2021-04-22,1023.2,0.0,13.4,57.0,2.5
112,2021-04-23,1022.3,0.0,11.9,73.0,2.8
113,2021-04-24,1019.3,0.0,13.9,77.0,2.0
114,2021-04-25,1018.0,0.0,12.7,69.0,4.2
115,2021-04-26,1022.9,0.0,8.9,57.0,4.5
116,2021-04-27,1021.9,0.0,12.3,55.0,2.4
117,2021-04-28,1018.3,11.5,17.1,67.0,4.5
118,2021-04-29,1009.1,71.0,12.7,98.0,3.1
119,2021-04-30,1005.5,3.0,14.7,73.0,3.1
120,2021-05-01,1003.7,12.5,14.4,70.0,4.0
121,2021-05-02,1006.2,16.5,10.9,82.0,3.4
122,2021-05-03,1017.3,0.0,12.4,72.0,3.5
123,2021-05-04,1017.1,0.0,16.8,52.0,2.9
124,2021-05-05,1012.1,14.5,17.7,68.0,5.9
125,2021-05-06,1017.4,0.0,17.6,63.0,2.2
126,2021-05-07,1009.7,0.0,18.3,58.0,3.3
127,2021-05-08,1005.9,0.0,19.8,56.0,3.9
128,2021-05-09,1006.4,2.5,18.6,54.0,5.2
129,2021-05-10,1013.3,0.0,15.8,51.0,3.1
130,2021-05-11,1017.3,0.0,15.5,67.0,2.8
