,Date,MSLP,Prcp,Tc,RH,WS
0,1990-01-01,1018.3,8.0,0.8,95.0,2.3
1,1990-01-02,1018.2,4.5,2.7,90.0,1.8
2,1990-01-03,1015.7,34.5,0.8,94.0,2.0
3,1990-01-04,1020.5,0.0,0.7,91.0,2.5
4,1990-01-05,1021.5,0.0,3.7,68.0,3.4
5,1990-01-06,1016.9,15.0,4.6,71.0,5.0
6,1990-01-07,1028.8,1.5,0.7,91.0,2.3
7,1990-01-08,1032.7,0.0,1.9,73.0,2.3
8,1990-01-09,1026.3,0.0,6.9,67.0,2.7
9,1990-01-10,1010.8,9.0,11.9,64.0,7.1
10,1990-01-11,1023.3,2.5,5.4,76.0,2.2
11,1990-01-12,1016.6,5.0,6.5,75.0,2.7
12,1990-01-13,1018.1,24.0,1.0,85.0,3.4
13,1990-01-14,1020.2,10.0,1.6,81.0,2.9
14,1990-01-15,1021.0,9.0,1.6,87.0,1.6
15,1990-01-16,1013.7,0.0,2.8,74.0,3.0
16,1990-01-17,1019.8,1.5,1.6,86.0,2.4
17,1990-01-18,1017.3,0.5,7.2,62.0,5.9
18,1990-01-19,1016.7,13.5,6.1,89.0,3.0
19,1990-01-20,1025.0,0.5,-0.1,80.0,3.6
20,1990-01-21,1025.4,1.5,1.7,84.0,3.6
21,1990-01-22,1019.0,13.5,3.1,77.0,4.1
22,1990-01-23,1015.3,11.5,-0.5,90.0,3.7
23,1990-01-24,1013.4,19.0,-0.9,85.0,5.0
24,1990-01-25,1024.2,12.0,-2.6,88.0,2.7
25,1990-01-26,1030.8,6.5,-2.9,88.0,1.6
26,1990-01-27,1032.6,1.0,-3.6,88.0,2.6
27,1990-01-28,1035.7,0.0,-1.4,83.0,2.2
28,1990-01-29,1020.8,16.5,3.2,84.0,3.2
29,1990-01-30,1025.1,7.5,1.1,91.0,2.5
30,1990-01-31,1024.6,1.5,0.4,85.0,1.8
31,1990-02-01,1021.9,12.0,1.8,92.0,2.0
32,1990-02-02,1030.3,0.0,2.0,73.0,2.1
33,1990-02-03,1025.0,3.0,3.2,83.0,1.7
34,1990-02-04,1024.0,0.0,3.6,87.0,1.9
35,1990-02-05,1029.0,4.0,2.5,91.0,1.9
36,1990-02-06,1031.0,0.0,2.8,80.0,1.8
37,1990-02-07,1027.9,0.5,4.7,74.0,2.4
38,1990-02-08,1027.7,0.0,3.6,71.0,2.7
39,1990-02-09,1030.5,0.0,2.6,75.0,2.2
40,1990-02-10,1027.7,0.5,7.1,63.0,3.8
41,1990-02-11,1012.5,15.0,10.7,84.0,6.1
42,1990-02-12,1017.8,8.5,4.5,82.0,3.1
43,1990-02-13,1026.3,0.0,4.2,74.0,2.1
44,1990-02-14,1025.9,0.5,4.2,64.0,2.1
45,1990-02-15,1022.0,4.5,4.1,92.0,1.3
46,1990-02-16,1021.8,42.0,3.9,93.0,2.4
47,1990-02-17,1028.7,0.0,5.2,78.0,1.7
48,1990-02-18,1031.2,0.0,6.2,77.0,2.6
49,1990-02-19,1023.6,1.5,11.7,64.0,5.5
50,1990-02-20,1016.2,8.5,11.8,68.0,5.9
51,1990-02-21,1025.7,0.5,8.7,73.0,2.5
52,1990-02-22,1024.5,0.0,8.3,78.0,2.8
53,1990-02-23,1017.1,17.0,9.7,91.0,2.1
54,1990-02-24,1013.8,31.5,9.2,98.0,2.8
55,1990-02-25,1016.8,13.5,7.2,93.0,2.2
56,1990-02-26,1020.0,1.0,7.3,85.0,3.5
57,1990-02-27,1026.0,3.5,4.7,81.0,3.7
58,1990-02-28,1030.2,0.0,4.5,76.0,2.5
59,1990-03-01,1023.7,10.0,5.2,87.0,2.8
60,1990-03-02,1018.0,6.5,6.9,90.0,2.2
61,1990-03-03,1014.6,20.0,7.8,88.0,1.9
62,1990-03-04,1011.0,0.5,6.0,74.0,2.0
63,1990-03-05,1009.8,1.0,4.9,73.0,2.4
64,1990-03-06,1010.2,0.0,5.7,69.0,2.9
65,1990-03-07,1009.2,10.5,4.7,70.0,4.5
66,1990-03-08,1020.6,4.5,2.5,73.0,3.2
67,1990-03-09,1025.7,0.0,6.5,66.0,2.6
68,1990-03-10,1025.7,0.0,8.7,57.0,3.7
69,1990-03-11,1018.4,0.5,10.8,51.0,3.4
70,1990-03-12,1006.1,15.0,7.7,73.0,7.4
71,1990-03-13,1023.6,0.0,3.7,57.0,4.2
72,1990-03-14,1024.9,0.0,5.1,58.0,2.5
73,1990-03-15,1014.6,3.5,9.4,69.0,5.6
74,1990-03-16,1023.0,0.5,6.9,67.0,2.5
75,1990-03-17,1023.2,0.0,5.5,71.0,2.1
76,1990-03-18,1014.3,1.0,6.0,78.0,3.5
77,1990-03-19,1019.7,0.5,7.6,63.0,3.8
78,1990-03-20,1018.4,0.0,9.0,55.0,3.9
79,1990-03-21,1024.9,0.0,6.6,61.0,2.3
80,1990-03-22,1026.0,0.0,6.4,66.0,2.6
81,1990-03-23,1021.1,0.0,10.9,69.0,1.8
82,1990-03-24,1012.4,37.0,11.4,77.0,5.7
83,1990-03-25,1022.7,0.0,5.7,58.0,6.5
84,1990-03-26,1025.8,0.0,5.3,55.0,2.6
85,1990-03-27,1024.8,0.0,8.8,53.0,2.8
86,1990-03-28,1019.3,6.0,9.4,72.0,2.0
87,1990-03-29,1012.0,8.5,9.6,87.0,3.7
88,1990-03-30,1017.8,0.0,10.6,82.0,2.7
89,1990-03-31,1014.2,16.0,11.2,91.0,1.4
90,1990-04-01,1011.9,0.5,11.9,89.0,1.9
91,1990-04-02,1015.9,0.0,12.4,73.0,2.4
92,1990-04-03,1015.6,0.0,15.2,61.0,3.6
93,1990-04-04,1004.7,32.5,12.0,73.0,4.5
94,1990-04-05,1010.8,6.5,4.8,75.0,3.3
95,1990-04-06,1015.2,3.5,10.5,59.0,4.6
96,1990-04-07,1014.3,0.0,12.8,45.0,8.4
97,1990-04-08,1004.5,14.0,12.3,58.0,8.7
98,1990-04-09,1012.9,0.0,13.2,52.0,5.0
99,1990-04-10,1018.1,0.0,14.5,56.0,3.5
100,1990-04-11,1023.4,0.0,13.6,65.0,2.4
101,1990-04-12,1021.4,0.0,17.5,44.0,5.0
102,1990-04-13,1011.2,2.5,16.4,63.0,7.6
103,1990-04-14,1008.4,6.0,12.4,89.0,2.0
104,1990-04-15,1008.0,1.5,10.8,80.0,2.0
105,1990-04-16,1009.7,0.5,10.1,75.0,1.9
106,1990-04-17,1011.9,9.0,8.7,87.0,2.9
107,1990-04-18,1016.1,4.0,7.1,83.0,2.4
108,1990-04-19,1018.8,0.0,8.2,73.0,2.4
109,1990-04-20,1016.5,1.0,10.0,78.0,1.9
110,1990-04-21,1013.4,4.0,12.6,87.0,1.8
111,1990-04-22,1007.7,6.0,12.6,90.0,2.0
112,1990-04-23,1000.2,19.5,11.5,94.0,2.4
113,1990-04-24,1011.2,4.5,9.3,77.0,3.6
114,1990-04-25,1018.3,0.0,12.1,51.0,3.4
115,1990-04-26,1017.7,0.0,18.4,50.0,5.8
116,1990-04-27,1021.5,0.0,14.3,75.0,2.7
117,1990-04-28,1018.8,3.5,19.3,56.0,4.3
118,1990-04-29,1018.6,4.0,12.5,82.0,3.3
119,1990-04-30,1023.6,0.0,11.6,63.0,3.2
120,1990-05-01,1022.6,2.0,9.8,79.0,3.2
121,1990-05-02,1020.6,0.0,10.7,81.0,2.2
122,1990-05-03,1017.5,0.0,12.0,82.0,2.4
123,1990-05-04,1007.4,12.0,17.8,74.0,6.5
124,1990-05-05,1009.7,38.5,12.5,95.0,1.9
125,1990-05-06,1018.5,0.0,14.1,73.0,2.8
126,1990-05-07,1014.3,2.5,15.9,77.0,1.9
127,1990-05-08,1007.4,15.5,15.3,92.0,1.5
128,1990-05-09,1012.4,0.0,17.7,77.0,2.1
129,1990-05-10,1013.7,0.0,21.6,65.0,2.7
130,1990-05-11,1012.5,0.0,21.5,65.0,2.5
131,1990-05-12,1011.4,0.0,21.1,65.0,3.1
132,1990-05-13,1009.3,0.0,19.9,71.0,1.9
133,1990-05-14,1005.6,24.0,18.2,87.0,2.2
134,1990-05-15,1010.6,15.5,14.8,76.0,3.2
135,1990-05-16,1018.2,0.0,13.9,75.0,2.1
136,1990-05-17,1019.6,0.0,15.4,72.0,2.4
137,1990-05-18,1013.0,0.0,19.7,53.0,5.4
138,1990-05-19,1008.1,15.5,16.3,80.0,5.6
139,1990-05-20,1008.3,0.0,20.2,63.0,3.0
140,1990-05-21,1005.9,0.0,19.0,58.0,4.3
141,1990-05-22,1009.3,0.0,16.3,58.0,3.6
142,1990-05-23,1015.2,0.0,14.5,74.0,2.4
143,1990-05-24,1016.3,0.0,13.7,75.0,2.9
144,1990-05-25,1015.8,2.0,14.3,69.0,2.8
145,1990-05-26,1020.3,0.0,15.5,64.0,2.4
146,1990-05-27,1020.9,0.0,18.0,64.0,2.4
147,1990-05-28,1018.5,0.0,20.9,52.0,3.3
148,1990-05-29,1017.1,0.0,19.2,67.0,2.7
149,1990-05-30,1016.3,0.0,20.5,66.0,2.4
150,1990-05-31,1014.3,0.0,23.2,49.0,5.0
151,1990-06-01,1009.9,1.0,21.8,48.0,6.9
152,1990-06-02,1006.6,6.0,19.1,75.0,2.9
153,1990-06-03,1010.9,0.0,19.8,74.0,2.5
154,1990-06-04,1007.0,0.0,19.3,84.0,2.1
155,1990-06-05,1006.1,0.0,18.8,84.0,3.3
156,1990-06-06,1015.4,0.0,19.1,77.0,2.6
157,1990-06-07,1018.0,0.0,19.7,77.0,2.1
158,1990-06-08,1012.0,0.0,22.2,74.0,2.5
159,1990-06-09,999.1,17.5,23.0,64.0,7.5
160,1990-06-10,1008.5,0.0,23.5,69.0,2.8
161,1990-06-11,1010.1,0.0,25.1,50.0,4.1
162,1990-06-12,1007.0,4.0,22.5,70.0,2.0
163,1990-06-13,1007.8,0.0,22.4,75.0,2.2
164,1990-06-14,1011.4,0.0,21.8,83.0,2.0
165,1990-06-15,1006.3,5.0,23.9,72.0,4.7
166,1990-06-16,1005.9,23.5,19.9,88.0,4.3
167,1990-06-17,1013.9,1.5,22.2,68.0,2.7
168,1990-06-18,1015.4,0.0,22.1,69.0,2.3
169,1990-06-19,1011.3,0.0,28.3,43.0,4.3
170,1990-06-20,1010.0,35.0,22.3,83.0,2.2
171,1990-06-21,1008.0,16.0,25.0,82.0,2.6
172,1990-06-22,1010.9,4.5,23.9,85.0,3.6
173,1990-06-23,1014.9,0.0,24.9,77.0,1.7
174,1990-06-24,1014.1,14.0,26.4,71.0,3.2
175,1990-06-25,1010.5,20.5,22.3,91.0,1.7
176,1990-06-26,1003.2,28.0,21.9,91.0,2.8
177,1990-06-27,1001.8,0.0,23.4,79.0,5.8
178,1990-06-28,1008.5,2.0,20.5,80.0,2.8
179,1990-06-29,1010.2,0.0,21.1,78.0,2.5
180,1990-06-30,1011.4,0.0,22.0,82.0,2.0
181,1990-07-01,1011.2,0.0,22.3,85.0,1.4
182,1990-07-02,1009.9,0.0,23.4,75.0,2.2
183,1990-07-03,1007.2,8.0,21.9,82.0,3.3
184,1990-07-04,1007.6,2.5,22.7,88.0,2.8
185,1990-07-05,1009.4,0.0,21.2,80.0,2.6
186,1990-07-06,1008.3,0.0,22.2,80.0,2.0
187,1990-07-07,1008.8,0.0,22.2,82.0,2.2
188,1990-07-08,1009.8,0.0,24.0,82.0,1.6
189,1990-07-09,1010.7,0.0,26.7,78.0,1.6
190,1990-07-10,1010.2,0.0,27.1,74.0,2.1
191,1990-07-11,1007.8,0.0,25.3,78.0,2.0
192,1990-07-12,1000.0,0.0,29.6,60.0,4.6
193,1990-07-13,1000.3,14.5,25.4,76.0,3.4
194,1990-07-14,1006.3,0.0,25.2,83.0,2.1
195,1990-07-15,1004.1,2.5,28.5,67.0,5.0
196,1990-07-16,1003.9,38.0,26.6,85.0,2.5
197,1990-07-17,1003.1,3.0,28.5,73.0,3.9
198,1990-07-18,1003.7,0.0,29.4,67.0,3.1
199,1990-07-19,1007.6,6.0,25.9,80.0,3.2
200,1990-07-20,1014.0,0.0,24.6,85.0,1.9
201,1990-07-21,1014.2,0.0,28.1,78.0,1.7
202,1990-07-22,1014.4,0.0,28.8,71.0,2.9
203,1990-07-23,1012.8,0.0,28.0,69.0,2.0
204,1990-07-24,1008.0,0.0,28.9,63.0,2.9
205,1990-07-25,1005.8,20.5,26.7,75.0,3.4
206,1990-07-26,1007.9,33.0,25.2,84.0,2.2
207,1990-07-27,1010.0,0.0,25.1,80.0,2.3
208,1990-07-28,1011.8,0.0,26.7,83.0,2.0
209,1990-07-29,1011.8,0.0,26.6,79.0,2.3
210,1990-07-30,1010.8,0.0,25.8,81.0,3.0
211,1990-07-31,1009.4,0.0,25.2,82.0,2.8
212,1990-08-01,1007.7,0.0,25.9,76.0,2.1
213,1990-08-02,1007.4,0.0,26.3,74.0,2.5
214,1990-08-03,1007.0,0.0,26.6,83.0,2.1
215,1990-08-04,1005.3,0.0,27.1,77.0,2.3
216,1990-08-05,1003.4,0.0,25.8,83.0,1.5
217,1990-08-06,1001.2,0.0,27.1,84.0,2.5
218,1990-08-07,1002.4,0.0,27.2,83.0,3.2
219,1990-08-08,1005.4,0.0,26.6,79.0,3.7
220,1990-08-09,1005.9,0.0,25.7,80.0,2.1
221,1990-08-10,1000.8,25.5,24.8,91.0,2.2
222,1990-08-11,1006.5,0.0,28.1,74.0,3.7
